word_spelling,word_type,word_definition,word_example,word_attempts,word_correct,word_wrong,word_percentage
abstain,verb,To choose not to consume.  To choose not to take part,"Considered a health nut, she abstained from anything containing sugar.",0,0,0,0
acrimony,noun,Bitterness and ill will.,The acrimony between the president and vice-president sent a clear signal to voters.  The health of the current administration was imperiled.,0,0,0,0
aesthete,noun,One who professes sensitivity to beauty of art and nature.,"As a true aesthete, he would spend hours a the museum, staring at the same painting.",0,0,0,0
aesthetic,adjective or noun,Concerned with the appreciation of beauty.  A set of principles underlying the guiding the work of a particular artist or artistic movement.,"The artist operated according to a peculiar aesthetic, not considering any photograph t be worth publishing unless it contained a marine mammal.",0,0,0,0
amalgam,noun,A mixture of multiple things.,"The band''s music was an amalgam of hiphop, flamenco, and jazz.  The bleinding of the three styles had surprising results.",0,0,0,0
ambiguous,adjective,Open to more than one interpretation.,"The coach told his team:  ''Move towards that side of the field.''  Because he did not point, his directions were ambiguous.  The team had no idea to which side he was referring.",0,0,0,0
ambivalent,adjective,Mixed or conflicting emotions about something.,Sam was ambivalent about studying for the exam because doing so ate up a lot of his time.  Yet he was able to improve his analytical skills.,0,0,0,0
ameliorate,verb,Make something bad better.,This is a story of a western man who hopes to ameliorate poverty and lack of education in a foreign country.,0,0,0,0
amenable,adjective,Easily persuaded.,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping.",0,0,0,0
amorphous,adjective,Shapeless.,His study plan for the GRE was at best amorphous.  He would do questions from random pages in any one of seven test preparation books.,0,0,0,0
anomalous,adjective,Not normal.,"According to those who do not believe in climate change, the extreme weather over the last five years is simply anomalous.",0,0,0,0
apathetic,adjective,Characterized by a lack of interest.,He was so talented at teaching math that even normally apathetic students took interest.,0,0,0,0
apathy,noun,An absence of emotion.  An absence of enthusiasm.,Widespread apathy among voters led to a very small turnout on election day.,0,0,0,0
artful,adjective,Clever in a cunning way.,Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in United States history.,0,0,0,0
ascetic,adjective,Practicing self-denial.,"His ascetic life is the main reason he inspired to many followers, especially since he gave up wealth and power to live in poverty.",0,0,0,0
audacious,adjective,Willing to be bold in social situations.  To take risks.,"As all of the other campers cowered in their tents, Bill audaciously tracked down the bear that had raided their food.",0,0,0,0
auspicious,adjective,Favorable.,"Despite an auspicious beginning, Mike''s road trip became a series of mishaps.  He was soon stranded and penniless, leaning against his wrecked automobile.",0,0,0,0
avaricious,adjective,Excessively greedy.,"Since avaricious desire is similar to gluttony or lust, it was listed as one of the seven deadly sins by the Catholic church.",0,0,0,0
banal,adjective,Repeated too often.  Over familiar through over use.,The professor used such banal expressions that many of the students fell asleep from boredom.,0,0,0,0
belie,verb,Misrepresent.,The simile on here face belies the pain she must feel after the death of her husband.,0,0,0,0
belligerent,adjective,Characteristic of one eager to fight.,"He said that he was arguing the matter purely for philosophical reasons, but his belligerent tone indicated an underlying anger about the issue.",0,0,0,0
betray,verb,To unintentionally reval something.,"With the gold medal at stake, the gymnast awaited his turn.  His quivering lip betraying his intense emotions.",0,0,0,0
bucolic,adjective,Relating to the pleasant aspects of the country.,"The noble families of England once owned vast expanses of beautiful, bucolic land.",0,0,0,0
calumny,noun,Making of a false statement meant to injure a person's reputation.,"With the presidential primaries well under way, the air is thick with calumny with the mud already waist-high.",0,0,0,0
castigate,verb,To reprimand harshly.,Drill sergeants are known to castigate new recurits to mercilessly that the latter often break down during their first week in training.,0,0,0,0
censure,verb,To express strong disapproval.,"After being caught in bed with a mistress, the mayor was quickly censured by the city council.",0,0,0,0
chastise,verb,To reprimand harshly.,"Though chastised for eating the snacks for the party, Lawrence shrugged off his mother''s harsh words and continued to plow through jars of cookies and boxes of doughnuts.",0,0,0,0
chortle,verb,Muffled laughter.,"Walking INTO the cafe, I could hear happy, chortling people and sell the rich aroma of roasted coffee beans.",0,0,0,0
circumvent,verb,To cleverly find a way out of duties or obligations.,One way of circumventing the GRE is to apply to a grad school that does not require GRE scores.,0,0,0,0
commensurate,adjective,To be in proportion or corresponding in degree or amount.,The convicted felon's life sentence was commensurate with the heinousness of his crime.,0,0,0,0
concede,verb,To acknowledge defeat.  To admit wrongdoing.  To give over; surrender or relinquish to the physical control of another.,"I concede.  You win!  After a long, stern lecture from her father, Olivia conceded to having broken the window.  The Spanish were forced to concede much of the territory.",0,0,0,0
conspicuous,adjective,Completely obvious.  Withou any attempt at concealment.,"American basketball players are always conspicuous when they go abroad.  Not only are they American, but some are over seven feet tall.",0,0,0,0
contrive,verb,To pull off a scheme through trickery.,"Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation.",0,0,0,0
cryptic,adjective,Intentionally vague.,"Since Sarah did not want her husband to guess the Christmas present she had bought him, she only answered cryptically when he would ask her questions about it.",0,0,0,0
culminate,verb,To reach the highest or most decisive point.,"Beethoven''s musical genius culminated in the 9th Symphony, which many consider his greatest work.",0,0,0,0
culpability,noun,A state of guilt.,"Since John had left his banana peel at the top of the stairwell, he accepted culpability for Martha''s broken leg.",0,0,0,0
decorous,adjective,Characterized by good taste in manners and conduct.,Sally's parties are decorous affairs of tea and intellectual conversations.,0,0,0,0
deferential,adjective,Show respect.,"If you ever have the chance to meet the president, stand up straight and be deferential.",0,0,0,0
delineate,verb,To describe in detail.,"After a brief summary of the marketing plan, the manager delineated the specifics of each campaign. ",0,0,0,0
demur,verb,Show reluctance.  To object.,"Wallace disliked the cold, so he demurred when his friends suggested they go skiing in the Alps.",0,0,0,0
denote,verb,A sign or indication of some meaning.,"Even if the text is not visible, the red octagon denotes stop to all motorists in America.",0,0,0,0
derivative,adjective,"Not original but drawing strongly on something already in existence.  Especially in reference to a creative product such as music, writing, and science.","Because the movies were utterly derivative of other popular movies, they did well at the box office.",0,0,0,0
derive,verb,Reason by deduction.,"From the multiple set of footprints in the living room, the investigator derived an important clue.",0,0,0,0
dictatorial,adjective,Expecting unquestioning obedience.  Characteristic of an absolute ruler.,The coach was dictatorial in his approach.  No player could ever argue or question his approach.,0,0,0,0
didactic,adjective,Instructive to excess.,Tolstoy's 'The Death of Ivan Ilyich' is a didactic novel.  It instructs the reader on how to live a good life.,0,0,0,0
diffident,adjective,Lacking self-confidence.  Show modest reserve.,"As a young girl she was diffident and reserved.  Now, as an adult, she is confident and assertive.",0,0,0,0
disaffected,adjective,To be discontented as toward authority.,"After watching his superior take rations fro the soldiers, he quickly became disaffected and rebelled.",0,0,0,0
disinterested,adjective,Unbiased.  Neutral.,"The potential juror knew the defendant and therefore could not serve on the jury, which must consist only of disinterested members.",0,0,0,0
dogmatic,adjective,Highly opinionated.  Not accepting that your belief may not be correct.,"Bryan is dogmatic in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated.",0,0,0,0
eclectic,adjective,Comprised of a variety of styles.,He was known for his eclectic tastes in music.  One moment dancing to disco and next conducting Beethoven's 9th Symphony.,0,0,0,0
egregious,adjective,Standing out in a negative way.  Shockingly bad.,The dictator's abuse of human rights was so egregious that many world leaders demanded that he be tried in an international court for genocide.,0,0,0,0
elucidate,verb,To make clearer and easier to understand.,You Tube is a great place to learn just about anything.  An expert elucidates finer points so that even a complete novice can learn.,0,0,0,0
eminent,adjective,Standing above others in quality or position.,"Shakespeare is an eminent author in the English language, but I find his writing uninteresting and melodramatic.",0,0,0,0
